ScoreId,GameId,PlayerId,Rank,RawScore,Score,
409,95,83,3,0,-9,
410,95,55,4,0,-23,
411,96,21,1,0,32,
412,96,31,2,0,20,
413,96,98,3,0,-8,
414,96,83,4,0,-44,
415,97,45,1,0,22,
416,97,12,2,0,12,
417,97,39,3,0,-8,
418,97,31,4,0,-26,
419,98,6,1,0,25,
420,98,23,2,0,12,
421,98,52,3,0,-3,
422,98,61,4,0,-34,
423,99,98,1,0,26,
424,99,52,2,0,11,
425,99,13,3,0,-11,
426,99,45,4,0,-26,
427,100,70,1,0,29,
428,100,98,2,0,12,
429,100,84,3,0,5,
430,100,23,4,0,-46,
431,101,45,1,0,43,
432,101,52,2,0,27,
433,101,6,3,0,-1,
434,101,23,4,0,-26,
435,101,55,5,0,-43,
436,102,31,1,0,38,
437,102,39,2,0,19,
438,102,12,3,0,3,
439,102,47,4,0,-19,
440,102,4,5,0,-41,
441,103,84,1,0,29,
442,103,52,2,0,18,
443,103,61,3,0,-12,
444,103,83,4,0,-35,
445,104,47,1,0,33,
446,104,31,2,0,13,
447,104,45,3,0,-3,
448,104,55,4,0,-43,
449,105,98,1,0,36,
450,105,12,2,0,10,
451,105,39,3,0,-7,
452,105,4,4,0,-39,
453,106,31,1,0,45,
454,106,47,2,0,19,
455,106,66,3,0,-6,
456,106,23,4,0,-18,
457,106,84,5,0,-40,
458,107,52,1,0,38,
459,107,4,2,0,22,
460,107,55,3,0,1,
461,107,39,4,0,-21,
462,107,45,5,0,-40,
463,108,12,1,0,48,
464,108,22,2,0,25,
465,108,98,3,0,-12,
466,108,70,4,0,-24,
467,108,89,5,0,-37,
468,109,47,1,0,33,
469,109,23,2,0,23,
470,109,45,3,0,6,
471,109,55,4,0,-13,
472,109,4,5,0,-49,
473,110,84,1,0,30,
474,110,66,2,0,8,
475,110,31,3,0,-8,
476,110,39,4,0,-30,
477,111,52,1,0,39,
478,111,98,2,0,15,
479,111,61,3,0,-15,
480,111,72,4,0,-39,
481,112,98,1,0,35,
482,112,52,2,0,13,
483,112,39,3,0,-4,
484,112,55,4,0,-44,
485,113,4,1,0,43,
486,113,66,2,0,14,
487,113,31,3,0,-16,
488,113,12,4,0,-41,
489,114,23,1,0,39,
490,114,89,2,0,24,
491,114,47,3,0,-8,
492,114,84,4,0,-20,
493,114,45,5,0,-35,
494,115,39,1,0,22,
495,115,23,2,0,8,
496,115,52,3,0,-5,
497,115,31,4,0,-25,
498,116,66,1,0,28,
499,116,61,2,0,6,
500,116,84,3,0,-7,
501,116,45,4,0,-27,
502,117,55,1,0,27,
503,117,98,2,0,10,
504,117,4,3,0,-3,
505,117,12,4,0,-34,
506,118,97,1,0,34,
507,118,31,2,0,16,
508,118,39,3,0,-13,
509,118,52,4,0,-37,
510,119,68,1,0,38,
511,119,98,2,0,26,
512,119,23,3,0,-1,
513,119,61,4,0,-17,
514,119,4,5,0,-46,
515,120,70,1,0,37,
516,120,89,2,0,22,
517,120,47,3,0,-18,
518,120,12,4,0,-41,
519,121,6,1,0,41,
520,121,84,2,0,12,
521,121,45,3,0,-8,
522,121,55,4,0,-45,
523,122,61,1,0,39,
524,122,84,2,0,9,
525,122,98,3,0,-2,
526,122,12,4,0,-15,
527,122,4,5,0,-31,
528,123,47,1,0,43,
529,123,45,2,0,30,
530,123,52,3,0,-8,
531,123,39,4,0,-20,
532,123,31,5,0,-45,
533,124,39,1,0,39,
534,124,61,2,0,21,
535,124,66,3,0,-19,
536,124,4,4,0,-41,
537,125,47,1,0,36,
538,125,6,2,0,19,
539,125,52,3,0,-7,
540,125,31,4,0,-18,
541,125,23,5,0,-30,
542,126,6,1,0,31,
543,126,89,2,0,10,
544,126,23,3,0,-9,
545,126,4,4,0,-32,
546,127,84,1,0,41,
547,127,47,2,0,27,
548,127,66,3,0,-21,
549,127,61,4,0,-47,
550,128,31,1,0,65,
551,128,45,2,0,4,
552,128,39,3,0,-11,
553,128,98,4,0,-21,
554,128,52,5,0,-37,
555,129,89,1,0,33,
556,129,52,2,0,17,
557,129,45,3,0,-8,
558,129,61,4,0,-42,
559,130,98,1,0,33,
560,130,47,2,0,12,
561,130,31,3,0,-6,
562,130,23,4,0,-39,
563,131,39,1,0,21,
564,131,4,2,0,10,
565,131,12,3,0,-8,
566,131,84,4,0,-23,
